url,title,price,location,bedrooms,bathrooms,area
https://bh.opensooq.com/en/search/284788622,شقة فاخرة بإطلالة بحرية للإيجار  السيف – جزيرة الريف  650 دينار,650,"Seef, Manama",2,3,130 m2
https://bh.opensooq.com/en/search/286760888,With EWA 2 bedroom flat 160 bhd,160,"Muharraq City, Muharraq",2,2,125 m2
https://bh.opensooq.com/en/search/286759904,Commercial villa for rent in seef area,"3,000","Seef, Manama",,,1000 m2
https://bh.opensooq.com/en/search/286741264,Room sharing with ewa inclusive available at the end of September,70,"Juffair, Manama",,,
https://bh.opensooq.com/en/search/286740900,للبيع بيت قديم في المحرق,"33,000","Muharraq City, Muharraq",4,,110 m2
https://bh.opensooq.com/en/search/286739806,3BHK Apartment for Rent – Hamad Town,250,"Madinat Hamad, Northern Governorate",3,3,80 m2
https://bh.opensooq.com/en/search/286738944,فيلا راقية للايجار في ديار المحرق 4 غرف ومجلس,500,"Busaiteen, Muharraq",6+,6+,"1,000 m2"
https://bh.opensooq.com/en/search/286686506,"PRICE REDUCED 2BR Furnished + Maid&#x27;s Room, Juffair, Direct from Owner",480,"Juffair, Manama",2,4,130 m2
https://bh.opensooq.com/en/search/285742866,للبيع شقة كبيرة في منطقة الحد,"65,000","Hidd, Muharraq",4,4,180 m2
https://bh.opensooq.com/en/search/286726504,APARTMENT FOR RENT IN SAAR  ONLY BD 170,"170,000","Saar, Northern Governorate",Studio,1,70 m2
https://bh.opensooq.com/en/search/286725336,للإيجار شقة دوبلكس فاخرة في الجفير برج راقي مفروشة بالكامل,290,"Juffair, Manama",1,2,70 m2
https://bh.opensooq.com/en/search/286723722,شقة في عراد غرفة واحدة / صالة / مطبخ .. شامل الكهرباء والماء,160,"Arad, Muharraq",1,1,120 m2
https://bh.opensooq.com/en/search/286723382,Room for rent only Lady,85,"Ras Al-Rumman, Manama",,,
https://bh.opensooq.com/en/search/286719604,Flat for rent in Hamala *with ewa *,160,"Hamala, Northern Governorate",1,1,30 m2
https://bh.opensooq.com/en/search/286715512,محل تجاري للايجار الشهري 400دينار,400,"Qudaibiya, Manama",,,43 m2
https://bh.opensooq.com/en/search/286714922,مكاتب للايجار في توبلي/ Offices for Rent in Tubli,250,"Tubli, Central Governorate",,,180 m2
https://bh.opensooq.com/en/search/286711478,مدينةالحد/شقة راقية للبيع نظام عربي تشطيب راقي بسعر مغري,"57,500","Hidd, Muharraq",4,4,190 m2
https://bh.opensooq.com/en/search/286709996,Brand New  Fully Furnished  Gated Community  Best Deal,900,"Other, Central Governorate",4,5,300 m2
https://bh.opensooq.com/en/search/286653756,RUNNING LADIES SALON FOR SALE – BAHRAIN  Well-established and fully operational ladies salon availab,"3,200","Other, Northern Governorate",,,1 m2
https://bh.opensooq.com/en/search/286709656,للأيجار محل تجاري دكان للأيجار في منطقة الهملة .,150,"Hamala, Northern Governorate",,,55 m2
https://bh.opensooq.com/en/search/285892002,شقه للايجار مطله على شارع المطار العام بالمحرق غير شامل,130,"Muharraq City, Muharraq",2,2,80 m2
https://bh.opensooq.com/en/search/286708766,للايجار شقة للأيجار في منطقة المنامة القضيبية .,210,"Qudaibiya, Manama",2,1,45 m2
https://bh.opensooq.com/en/search/286708070,للأيجار استيديو للأيجار في منطقة القضيبية .,120,"Qudaibiya, Manama",Studio,1,30 m2
https://bh.opensooq.com/en/search/286647710,The Address Residents Beach Resort &amp; Spa,60,"Diyar Al Muharraq, Muharraq",,,
https://bh.opensooq.com/en/search/286700190,شقه للايجار ((على شارع البلديه بالمحرق)),65,"Muharraq City, Muharraq",1,1,90 m2
https://bh.opensooq.com/en/search/286696466,الايجار شقه في الرفاع,100,"Riffa, Southern Governorate",2,2,70 m2
https://bh.opensooq.com/en/search/286695502,للإيجار شقة في الجفير,500,"Juffair, Manama",2,2,75 m2
https://bh.opensooq.com/en/search/286691482,مبنى تجاري مؤجر بالكامل الحجيات للبيع,"151,000","Riffa, Southern Governorate",,,303 m2
https://bh.opensooq.com/en/search/286690330,FLATS &amp; OFFICES FOR RENT,100,"Qudaibiya, Manama",1,1,20 m2
https://bh.opensooq.com/en/search/285698076,للبيع شقة 3 غرف في الحد بسعر مميز,"45,000","Hidd, Muharraq",3,3,129 m2
