url,title,property_type,price,location,bedrooms,bathrooms,updated
https://www.qatarliving.com/en/properties/rent/residential/apartment/1-month-free-2bhk-furnished-near-american-hospitalmunthazah-no-commission/2431165,"1 MONTH FREE | 2BHK FURNISHED NEAR AMERICAN HOSPITAL,MUNTHAZAH | NO COMMISSION",Apartment,"4,000","Al Muntazah, Doha, Qatar",2 ,1 ,Updated 1 hours ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/amazing_ff1bd_apartment_near_hamad_hospital/262399,Amazing FF1BD Apartment | Near Hamad Hospital,Apartment,"5,000","Al Sadd, Doha, Qatar",1 ,2 ,Updated 0 minutes ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/spacious_2_bhk_available_for_family_ladies_staff/131663,SPACIOUS 3 BHK AVAILABLE FOR FAMILY & LADIES STAFF,Apartment,"6,250","Najma, Doha, Qatar",3 ,3 ,Updated 0 minutes ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/luxurious_2bhk_3_bath_in_mansoura_near_metro_station_no_commission/227519,LUXURIOUS 2BHK(3 BATH) IN MANSOURA NEAR METRO STATION | NO COMMISSION,Apartment,"5,000","Al Mansoura / Fereej Bin Dirham, Doha, Qatar",2 ,3 ,Updated 7 hours ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/1-month-free-affordable-2bhk-unfurnished-old-ghanim/no-commission/2499480,1 MONTH FREE | AFFORDABLE 2BHK UNFURNISHED  IN OLD GHANIM /NO COMMISSION,Apartment,"2,900","Old Al Ghanim, Doha, Qatar",2 ,1 ,Updated 7 hours ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/luxurious-3bhk-unfurnished-bin-omran-family/no-commission/2391960,2BHK UNFURNISHED IN BIN OMRAN NEAR RAWNAQ FOR FAMILY / NO COMMISSION,Apartment,"4,500","Fereej Bin Omran, Doha, Qatar",2 ,2 ,Updated 7 hours ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/1-month-free-1bhk-fully-furnished-near-apollo-clinicb-ring-family/2440226,"1BHK FULLY FURNISHED NEAR APOLLO CLINIC,B-RING FOR FAMILY",Apartment,"3,500","Fereej Abdel Aziz, Doha, Qatar",1 ,1 ,Updated 1 hours ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/all-bills-included-fully-furnished-1-bed-room-flats-available-near-munthazah-park/2349962,1 MONTH FREE | ALL BILLS INCLUDED FULLY FURNISHED 1 BHK NEAR MUNTHAZAH PARK,Apartment,"3,500","Rawdat Al Khail, Doha, Qatar",1 ,1 ,Updated 1 hours ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/all_bills_including_1bhk_fully_furnished_near_corniche_opp_museum/230807,ALL BILLS INCLUDING | 1BHK FULLY FURNISHED NEAR CORNICHE OPP. MUSEUM,Apartment,"3,500","New Al Hitmi, Doha, Qatar",1 ,1 ,Updated 7 hours ago
https://www.qatarliving.com/en/properties/rent/residential/apartment/luxurious_2bhk_3bath_in_prime_location_of_mansoura/227584,LUXURIOUS 2BHK(3BATH) IN PRIME LOCATION OF MANSOURA,Apartment,"5,000","Al Mansoura / Fereej Bin Dirham, Doha, Qatar",2 ,3 ,Updated 1 hours ago
